BootcampName,Number of Recommenders,Number of Attendees,Percentage of Recommended
10x.org.il,3.0,,nan%
4Geeks Academy,4.0,,nan%
AcadGild,2.0,,nan%
Academia de CÃ³digo,4.0,,nan%
Academic Work Academy,0.0,,nan%
Academy X,0.0,,nan%
Ada,8.0,,nan%
Alphappl,0.0,,nan%
AngelHack Education,1.0,,nan%
Anyone Can Learn To Code,5.0,,nan%
App Academy,20.0,22.0,90.91%
Astro Code School,0.0,,nan%
Atlanta Code,0.0,,nan%
Austin Coding Academy,1.0,,nan%
Base10 Academy,1.0,,nan%
Betamore,1.0,,nan%
Big Nerd Ranch,2.0,,nan%
Bit Bootcamp,2.0,,nan%
Bitmaker Labs,3.0,,nan%
Bloc.io,11.0,21.0,52.38%
BoiseCodeWorks,2.0,,nan%
BrainStation,2.0,,nan%
Byte Academy,1.0,,nan%
CODEcamp Charleston,2.0,,nan%
Camp Code Away,2.0,,nan%
CareerFoundry,4.0,,nan%
Claim Academy,1.0,,nan%
Code 42,1.0,,nan%
Code Fellows,15.0,21.0,71.43%
Code For Progress,0.0,,nan%
Code Institute,1.0,,nan%
Code Platoon,2.0,,nan%
Code Union,1.0,,nan%
CodeCore Bootcamp,3.0,,nan%
CodeCraft School,1.0,,nan%
CodeMasters Academy,1.0,,nan%
CodeNinja,5.0,,nan%
CodeaCamp,8.0,,nan%
Codecademy Labs,2.0,,nan%
Coder Camps,6.0,11.0,54.55%
Coder Factory,2.0,,nan%
Coder Foundry,1.0,,nan%
Coder's Lab,1.0,,nan%
Codesmith,2.0,,nan%
Codeup,6.0,10.0,60.00%
Codify Academy,1.0,,nan%
Coding Dojo,11.0,18.0,61.11%
Coding House,1.0,,nan%
DESIGNATION,1.0,,nan%
DaVinci Coders,0.0,,nan%
Data Science Dojo,0.0,,nan%
Dev Academy,13.0,13.0,100.00%
Dev Bootcamp,41.0,48.0,85.42%
Dev League,3.0,,nan%
DevMountain,8.0,10.0,80.00%
Devschool,2.0,,nan%
Digital House,1.0,,nan%
DigitalCrafts,2.0,,nan%
EHD Academy,2.0,,nan%
Eleven Fifty Academy,2.0,,nan%
Epicodus,11.0,14.0,78.57%
Fire Bootcamp,1.0,,nan%
Flatiron School,50.0,54.0,92.59%
Founders & Coders,1.0,,nan%
"Free Code Camp is not a bootcamp - please scroll up and change answer to ""no""",14.0,15.0,93.33%
Fullstack Academy,6.0,,nan%
Galvanize,11.0,20.0,55.00%
General Assembly,70.0,90.0,77.78%
Grace Hopper Academy,3.0,,nan%
Grand Circus,3.0,,nan%
Hack Reactor,27.0,29.0,93.10%
Hackbright Academy,19.0,22.0,86.36%
HackerYou,1.0,,nan%
Interface Web School,0.0,,nan%
IronHack,5.0,,nan%
LAMP Camp,3.0,,nan%
LEARN Academy,3.0,,nan%
Ladies Learning Code,1.0,,nan%
Launch Academy,8.0,10.0,80.00%
Launch School (formerly Tealeaf Academy),1.0,,nan%
Le Wagon,1.0,,nan%
Learn.Modern-Developer,2.0,,nan%
LearningFuze,1.0,,nan%
Lighthouse Labs,3.0,,nan%
MakerSquare,18.0,20.0,90.00%
Makers Academy,12.0,12.0,100.00%
Metis,1.0,,nan%
Microsoft Research Data Science Summer School,1.0,,nan%
Mobile Makers Academy,1.0,,nan%
Montana Code School,0.0,,nan%
Nashville Software School,4.0,,nan%
New York Code + Design Academy,14.0,20.0,70.00%
Omaha Code School,2.0,,nan%
Operation Spark,1.0,,nan%
Orange County Code School,2.0,,nan%
Origin Code Academy,1.0,,nan%
PDX Code Guild,1.0,,nan%
Prime Digital Academy,25.0,30.0,83.33%
RefactorU,2.0,,nan%
Ruby On The Beach,1.0,,nan%
Rutgers Coding Bootcamp,3.0,,nan%
Sabio.la,3.0,,nan%
Science to Data Science,1.0,,nan%
SeedPaths,1.0,,nan%
Skillcrush,3.0,,nan%
Software Guild,8.0,10.0,80.00%
Stackademy,1.0,,nan%
Starter League,1.0,,nan%
Startup Institute,4.0,,nan%
TalentBuddy,0.0,,nan%
Tech Academy Portland,2.0,,nan%
Tech Talent South,8.0,12.0,66.67%
Telegraph Academy,2.0,,nan%
The Data Incubator,1.0,,nan%
The Firehose Project,13.0,16.0,81.25%
The Iron Yard,31.0,40.0,77.50%
Thinkful,5.0,,nan%
Turing,26.0,27.0,96.30%
V School,1.0,,nan%
Viking Code School,10.0,10.0,100.00%
We Can Code IT,1.0,,nan%
We Got Coders,2.0,,nan%
World Tech Makers,0.0,,nan%
Wyncode,3.0,,nan%
Zip Code Wilmington,1.0,,nan%
codeU,1.0,,nan%
devCodeCamp,4.0,,nan%
tradecraft,1.0,,nan%
